Month,Diatom ,Dinoflagellate ,Chlorophyte ,Prasinophyte,Rasphidophyte,Sillicoflagellate ,Cercozoan,Cryptophyte ,Ochrophyte,Haptophyte,Euglenophyte,Small_Flagellates
Jan,0.935320112,0.039839258,0,0,7.06871E-05,0.001961567,0.00019439,0.009619338,0.012971085,0,2.35624E-05,0
Feb,0.986640103,0.009233151,0,0.000135782,2.03038E-05,0.000380696,0,0.002705481,0.000884484,0,0,0
Mar,0.952436912,0.029251716,0,3.50793E-05,0,0,3.50793E-05,0.011755936,0.002806341,0.000289404,0.00072351,0.002666024
Apr,0.955394211,0.010714837,0,0,0.000391659,0,0,0.029508527,0.001815873,0.001186845,0.000988048,0
May,0.983644832,0.007676655,0,0.000105543,0.005150019,6.39655E-06,5.27715E-05,0.001783837,0.00081556,4.55754E-05,2.63858E-05,0.000692426
Jun,0.824335956,0.083695271,0,0.044698647,0.000713134,0.003636222,0.000138432,0.008717781,0.002032623,0.006164607,0.001994488,0.023872838
Jul,0.72508853,0.149195242,0,0.03902788,0.004997974,3.4603E-05,0,0.024680603,0.000791544,0.001595199,0.001645806,0.052942619
Aug,0.168544475,0.330219614,0,0.184173411,0.000127096,0,0.000385139,0.234237614,0.01616813,0.001714638,0.014130745,0.050299137
Sep,0.57312198,0.100771713,0,0.159255507,0.001192555,0,3.13418E-05,0.142708997,0.003668166,0.001386875,0.002348676,0.01551419
Oct,0.648624588,0.142105107,0,0.056381495,0.000237396,0,0,0.103997151,0.001175109,0,0,0.047479154
